,Title,Date,State,Total Deaths,full place name
10237,Bandits kill 7 persons in Kaduna,2/27/21,Kaduna,4,"Igabi, Kaduna, Nigeria"
10238,Bandits kill 7 persons in Kaduna,2/27/21,Kaduna,3,"Kajuru, Kaduna, Nigeria"
10239,7-year-old killed as bandits attack community hosting IDPs in Sokoto,2/27/21,Sokoto,3,"Sabon Birni, Sokoto, Nigeria"
10240,"Gunmen seize bus, kidnap passengers in Delta, police announce manhunt",2/27/21,Delta,0,"Ughelli North, Delta, Nigeria"
10241,"Two injured in police, hoodlums clash",2/27/21,Anambra,0,"Idemili North, Anambra, Nigeria"
10242,"Police Kill Nine Bandits, Arrest 10 Suspected Marauders In Katsina",2/28/21,Katsina,9,"Safana, Katsina, Nigeria"
10243,7 kidnapped in renewed bandits attack in Niger,2/28/21,Niger,0,"Rafi, Niger, Nigeria"
10244,3 kidnapped in renewed bandits attack in Niger,2/28/21,Niger,0,"Katcha, Niger, Nigeria"
10245,"Gunmen kill 5, raze houses in Kaduna attacks",2/28/21,Kaduna,5,"ZangonKa, Kaduna, Nigeria"
10246,"Gunmen kill 10, raze houses in Kaduna attacks",2/28/21,Kaduna,5,"Chikun, Kaduna, Nigeria"
10247,"Gunmen Slaughter Father, Two Sons In Zamfara",2/28/21,Zamfara,3,"Tsafe, Zamfara, Nigeria"
10248,"Notorious bandit leader, gang members killed in Kaduna",2/28/21,Kaduna,24,"Igabi, Kaduna, Nigeria"
10249,Six People Killed In Fresh Kaduna Village Attacks,3/1/21,Kaduna,5,"Igabi, Kaduna, Nigeria"
10250,Six People Killed In Fresh Kaduna Village Attacks,3/1/21,Kaduna,1,"Kauru, Kaduna, Nigeria"
10251,Airstrikes Kill Many Bandits,3/1/21,Kaduna,20,"Giwa, Kaduna, Nigeria"
10252,"Bandits Kidnap 1, Kill 12 People In Sokoto",3/1/21,Sokoto,12,"Illela, Sokoto, Nigeria"
10253,Gunmen attack police station in Akwa Ibom,3/1/21,Akwa Ibom,0,"Essien-U, Akwa Ibom, Nigeria"
10254,Gunmen attack another police station in Ebonyi,3/1/21,Ebonyi,0,"Izzi, Ebonyi, Nigeria"
10255,Two feared killed in Akwa Ibom community renewed boundary clash,3/1/21,Akwa Ibom,2,"Okobo, Akwa Ibom, Nigeria"
10256,Suspected herdsmen kill woman returning from stream in Ogun,3/1/21,Ogun,1,"Imeko-Afon, Ogun, Nigeria"
10257,"Boko Haram attacks Dikwa, abducts 7 aid workers in Borno",3/1/21,Borno,0,"Dikwa, Borno, Nigeria"
10258,Two Feared Dead As Amotekun Clash With Fulani Herdsman In Oyo,3/1/21,Oyo,2,"Atisbo, Oyo, Nigeria"
10259,"Again, three students kidnapped in Katsina",3/2/21,Katsina,0,"Safana, Katsina, Nigeria"
10260,Over 50 kidnapped by suspected bandits in Niger,3/2/21,Niger,0,"Rafi, Niger, Nigeria"
10261,Gunmen kill elder brother of former Benue State governor,3/2/21,Benue,1,"Logo, Benue, Nigeria"
